symbol,security,sec_filings,gics_sector,sub_industry,headquarters,date_added,cik,founded,
PFE,Pfizer,reports,Health Care,Pharmaceuticals,"New York City, New York",4/03/1957,78003,1849,
PCG,PG&E,reports,Utilities,Multi-Utilities,"San Francisco, California",3/10/2022,1004980,1905,
PM,Philip Morris International,reports,Consumer Staples,Tobacco,"New York City, New York",31/03/2008,1413329,2008 (1847),
PSX,Phillips 66,reports,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",1/05/2012,1534701,2012 (1917),
PNW,Pinnacle West,reports,Utilities,Multi-Utilities,"Phoenix, Arizona",,764622,1985,
PXD,Pioneer Natural Resources,reports,Energy,Oil & Gas Exploration & Production,"Irving, Texas",24/09/2008,1038357,1997,
PNC,PNC Financial Services,reports,Financials,Regional Banks,"Pittsburgh, Pennsylvania",30/04/1988,713676,1845,
POOL,Pool Corporation,reports,Consumer Discretionary,Distributors,"Covington, Louisiana",7/10/2020,945841,1993,
PPG,PPG Industries,reports,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",4/03/1957,79879,1883,
PPL,PPL Corporation,reports,Utilities,Electric Utilities,"Allentown, Pennsylvania",,922224,1920,
PFG,Principal Financial Group,reports,Financials,Life & Health Insurance,"Des Moines, Iowa",22/07/2002,1126328,1879,
PG,Procter & Gamble,reports,Consumer Staples,Personal Products,"Cincinnati, Ohio",4/03/1957,80424,1837,
PGR,Progressive Corporation,reports,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",4/08/1997,80661,1937,
PLD,Prologis,reports,Real Estate,Industrial REITs,"San Francisco, California",17/07/2003,1045609,1983,
PRU,Prudential Financial,reports,Financials,Life & Health Insurance,"Newark, New Jersey",22/07/2002,1137774,1875,
PEG,Public Service Enterprise Group,reports,Utilities,Electric Utilities,"Newark, New Jersey",4/03/1957,788784,1903,
PTC,PTC,reports,Information Technology,Application Software,"Boston, Massachusetts",20/04/2021,857005,1985,
PSA,Public Storage,reports,Real Estate,Specialized REITs,"Glendale, California",19/08/2005,1393311,1972,
PHM,PulteGroup,reports,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",30/04/1984,822416,1956,
QRVO,Qorvo,reports,Information Technology,Semiconductors,"Greensboro, North Carolina",11/06/2015,1604778,2015,
PWR,Quanta Services,reports,Industrials,Construction & Engineering,"Houston, Texas",1/07/2009,1050915,1997,
QCOM,Qualcomm,reports,Information Technology,Semiconductors,"San Diego, California",,804328,1985,
DGX,Quest Diagnostics,reports,Health Care,Health Care Services,"Secaucus, New Jersey",12/12/2002,1022079,1967,
RL,Ralph Lauren Corporation,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",2/02/2007,1037038,1967,
RJF,Raymond James,reports,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",20/03/2017,720005,1962,
RTX,Raytheon Technologies,reports,Industrials,Aerospace & Defense,"Waltham, Massachusetts",,101829,1922,
O,Realty Income,reports,Real Estate,Retail REITs,"San Diego, California",7/04/2015,726728,1969,
REG,Regency Centers,reports,Real Estate,Retail REITs,"Jacksonville, Florida",2/03/2017,910606,1963,
REGN,Regeneron,reports,Health Care,Biotechnology,"Tarrytown, New York",1/05/2013,872589,1988,
RF,Regions Financial Corporation,reports,Financials,Regional Banks,"Birmingham, Alabama",28/08/1998,1281761,1971,
RSG,Republic Services,reports,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",5/12/2008,1060391,1998 (1981),
RMD,ResMed,reports,Health Care,Health Care Equipment,"San Diego, California",26/07/2017,943819,1989,
RHI,Robert Half,reports,Industrials,Human Resource & Employment Services,"Menlo Park, California",5/12/2000,315213,1948,
ROK,Rockwell Automation,reports,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",,1024478,1903,
ROL,"Rollins, Inc.",reports,Industrials,Environmental & Facilities Services,"Atlanta, Georgia",1/10/2018,84839,1948,
ROP,Roper Technologies,reports,Information Technology,Electronic Equipment & Instruments,"Sarasota, Florida",23/12/2009,882835,1981,
ROST,Ross Stores,reports,Consumer Discretionary,Apparel Retail,"Dublin, California",21/12/2009,745732,1982,
RCL,Royal Caribbean Group,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",5/12/2014,884887,1997,
SPGI,S&P Global,reports,Financials,Financial Exchanges & Data,"New York City, New York",,64040,1917,
CRM,Salesforce,reports,Information Technology,Application Software,"San Francisco, California",15/09/2008,1108524,1999,
SBAC,SBA Communications,reports,Real Estate,Specialized REITs,"Boca Raton, Florida",1/09/2017,1034054,1989,
SLB,Schlumberger,reports,Energy,Oil & Gas Equipment & Services,"Curaçao, Kingdom of the Netherlands",31/03/1965,87347,1926,
STX,Seagate Technology,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",2/07/2012,1137789,1979,
SEE,Sealed Air,reports,Materials,Paper Packaging,"Charlotte, North Carolina",4/03/1957,1012100,1960,
SRE,Sempra Energy,reports,Utilities,Multi-Utilities,"San Diego, California",,1032208,1998,
NOW,ServiceNow,reports,Information Technology,Systems Software,"Santa Clara, California",21/11/2019,1373715,2003,
SHW,Sherwin-Williams,reports,Materials,Specialty Chemicals,"Cleveland, Ohio",30/06/1964,89800,1866,
SBNY,Signature Bank,reports,Financials,Regional Banks,"New York City, New York",20/12/2021,1288784,2001,
SPG,Simon Property Group,reports,Real Estate,Retail REITs,"Indianapolis, Indiana",26/06/2002,1063761,2003,
SWKS,Skyworks Solutions,reports,Information Technology,Semiconductors,"Irvine, California",12/03/2015,4127,2002,
SJM,The J.M. Smucker Company,reports,Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",6/11/2008,91419,1897,
SNA,Snap-on,reports,Industrials,Industrial Machinery,"Kenosha, Wisconsin",30/09/1982,91440,1920,
SEDG,SolarEdge,reports,Information Technology,Semiconductor Equipment,"Herzliya, Israel",20/12/2021,1419612,2006,
SO,Southern Company,reports,Utilities,Electric Utilities,"Atlanta, Georgia",4/03/1957,92122,1945,
LUV,Southwest Airlines,reports,Industrials,Airlines,"Dallas, Texas",1/07/1994,92380,1967,
SWK,Stanley Black & Decker,reports,Industrials,Industrial Machinery,"New Britain, Connecticut",30/09/1982,93556,1843,
SBUX,Starbucks,reports,Consumer Discretionary,Restaurants,"Seattle, Washington",7/06/2000,829224,1971,
STT,State Street Corporation,reports,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",,93751,1792,
STE,Steris,reports,Health Care,Health Care Equipment,"Dublin, Ireland",23/12/2019,1757898,1985,
SYK,Stryker Corporation,reports,Health Care,Health Care Equipment,"Kalamazoo, Michigan",12/12/2000,310764,1941,
SIVB,SVB Financial,reports,Financials,Regional Banks,"Santa Clara, California",19/03/2018,719739,1983,
SYF,Synchrony Financial,reports,Financials,Consumer Finance,"Stamford, Connecticut",18/11/2015,1601712,2003,
SNPS,Synopsys,reports,Information Technology,Application Software,"Mountain View, California",16/03/2017,883241,1986,
SYY,Sysco,reports,Consumer Staples,Food Distributors,"Houston, Texas",31/12/1986,96021,1969,
TMUS,T-Mobile US,reports,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",15/07/2019,1283699,1994,
TROW,T. Rowe Price,reports,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",,1113169,1937,
TTWO,Take-Two Interactive,reports,Communication Services,Interactive Home Entertainment,"New York City, New York",19/03/2018,946581,1993,
TPR,"Tapestry, Inc.",reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",,1116132,2017,
TRGP,Targa Resources,reports,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",12/10/2022,1389170,2005,
TGT,Target Corporation,reports,Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota",31/12/1976,27419,1902,
TEL,TE Connectivity,reports,Information Technology,Electronic Manufacturing Services,"Schaffhausen, Switzerland",17/10/2011,1385157,2007,
TDY,Teledyne Technologies,reports,Information Technology,Electronic Equipment & Instruments,"Thousand Oaks, California",22/06/2020,1094285,1960,
TFX,Teleflex,reports,Health Care,Health Care Equipment,"Wayne, Pennsylvania",18/01/2019,96943,1943,
TER,Teradyne,reports,Information Technology,Semiconductor Equipment,"North Reading, Massachusetts",21/09/2020,97210,1960,
TSLA,"Tesla, Inc.",reports,Consumer Discretionary,Automobile Manufacturers,"Austin, Texas",21/12/2020,1318605,2003,
TXN,Texas Instruments,reports,Information Technology,Semiconductors,"Dallas, Texas",,97476,1930,
TXT,Textron,reports,Industrials,Aerospace & Defense,"Providence, Rhode Island",31/12/1978,217346,1923,
TMO,Thermo Fisher Scientific,reports,Health Care,Life Sciences Tools & Services,"Waltham, Massachusetts",3/08/2004,97745,2006 (1902),
TJX,TJX Companies,reports,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",30/09/1985,109198,1987,
TSCO,Tractor Supply,reports,Consumer Discretionary,Specialty Stores,"Brentwood, Tennessee",24/01/2014,916365,1938,
TT,Trane Technologies,reports,Industrials,Building Products,"Dublin, Ireland",17/11/2010,1466258,1871,
TDG,TransDigm Group,reports,Industrials,Aerospace & Defense,"Cleveland, Ohio",3/06/2016,1260221,1993,
TRV,The Travelers Companies,reports,Financials,Property & Casualty Insurance,"New York City, New York",21/08/2002,86312,1853,
TRMB,Trimble Inc.,reports,Information Technology,Electronic Equipment & Instruments,"Westminster, Colorado",21/01/2021,864749,1978,
TFC,Truist,reports,Financials,Regional Banks,"Charlotte, North Carolina",4/12/1997,92230,1872,
TYL,Tyler Technologies,reports,Information Technology,Application Software,"Plano, Texas",22/06/2020,860731,1966,
TSN,Tyson Foods,reports,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",10/08/2005,100493,1935,
USB,U.S. Bank,reports,Financials,Diversified Banks,"Minneapolis, Minnesota",,36104,1968,
UDR,"UDR, Inc.",reports,Real Estate,Residential REITs,"Highlands Ranch, Colorado",7/03/2016,74208,1972,
ULTA,Ulta Beauty,reports,Consumer Discretionary,Specialty Stores,"Bolingbrook, Illinois",18/04/2016,1403568,1990,
UNP,Union Pacific Corporation,reports,Industrials,Railroads,"Omaha, Nebraska",4/03/1957,100885,1862,
UAL,United Airlines Holdings,reports,Industrials,Airlines,"Chicago, Illinois",3/09/2015,100517,1967,
UPS,United Parcel Service,reports,Industrials,Air Freight & Logistics,"Sandy Springs, Georgia",22/07/2002,1090727,1907,
URI,United Rentals,reports,Industrials,Trading Companies & Distributors,"Stamford, Connecticut",20/09/2014,1067701,1997,
UNH,UnitedHealth Group,reports,Health Care,Managed Health Care,"Minnetonka, Minnesota",1/07/1994,731766,1977,
UHS,Universal Health Services,reports,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",20/09/2014,352915,1979,
